Patroling Sections:
[-395.99699864, 56.4480032239,-20] -> [-387.455237603, -99.3903358162,-20] -> 
[-319.926928932, -240.097397204,-20] -> [-203.692645476, -344.251806356,-20] -> 
[-56.4480032239, -395.99699864,-20] -> [99.3903358162, -387.455237603,-20] -> 
[240.097397204, -319.926928932,-20] -> [344.251806356, -203.692645476,-20] -> 
[-494.9962483, 70.5600040299,-20] -> [-496.391933015, -59.9587261188,-20] -> 
[-463.959327821, -186.391368169,-20] -> [-399.908661165, -300.121746505,-20] -> 
[-308.604880131, -393.399323791,-20] -> [-196.27018651, -459.867387284,-20] -> 
[-70.5600040299, -494.9962483,-20] -> [59.9587261188, -496.391933015,-20] -> 
[186.391368169, -463.959327821,-20] -> [300.121746505, -399.908661165,-20] -> 
[393.399323791, -308.604880131,-20] -> [459.867387284, -196.27018651,-20] -> 
[-593.99549796, 84.6720048359,-20] -> [-599.100729714, -32.8377169679,-20] -> 
[-581.182856405, -149.085503724,-20] -> [-540.930451855, -259.604018181,-20] -> 
[-479.890393398, -360.146095806,-20] -> [-400.408416248, -446.847960942,-20] -> 
[-305.538968213, -516.377709533,-20] -> [-198.927828979, -566.063352336,-20] -> 
[-84.6720048359, -593.99549796,-20] -> [32.8377169679, -599.100729714,-20] -> 
[149.085503724, -581.182856405,-20] -> [259.604018181, -540.930451855,-20] -> 
[360.146095806, -479.890393398,-20] -> [446.847960942, -400.408416248,-20] -> 
[516.377709533, -305.538968213,-20] -> [566.063352336, -198.927828979,-20] -> 
[-692.99474762, 98.7840056419,-20] -> [-699.916055395, -10.8404520099,-20] -> 
[-689.603106998, -120.197981756,-20] -> [-662.309841446, -226.595838277,-20] -> 
[-618.708309516, -327.414153231,-20] -> [-559.872125631, -420.170445107,-20] -> 
[-487.250031904, -502.580746159,-20] -> [-402.630225301, -572.61584127,-20] -> 
[-308.096326299, -628.551233967,-20] -> [-205.976073229, -669.009609241,-20] -> 
[-98.7840056419, -692.99474762,-20] -> [10.8404520099, -699.916055395,-20] -> 
[120.197981756, -689.603106998,-20] -> [226.595838277, -662.309841446,-20] -> 
[327.414153231, -618.708309516,-20] -> [420.170445107, -559.872125631,-20] -> 
[502.580746159, -487.250031904,-20] -> [572.61584127, -402.630225301,-20] -> 
[628.551233967, -308.096326299,-20] -> [669.009609241, -205.976073229,-20] -> 
[-791.99399728, 112.896006448,-20] -> [-799.954264681, 8.55420473625,-20] -> 
[-794.227092824, -95.9339617901,-20] -> [-774.910475207, -198.780671632,-20] -> 
[-742.334924514, -298.22618907,-20] -> [-697.057817448, -392.56897373,-20] -> 
[-639.853857864, -480.194794408,-20] -> [-571.701821372, -559.604349018,-20] -> 
[-493.76780821, -629.438918066,-20] -> [-407.385290951, -688.503612711,-20] -> 
[-314.032298416, -735.787819654,-20] -> [-215.306126189, -770.482493004,-20] -> 
[-112.896006448, -791.99399728,-20] -> [-8.55420473625, -799.954264681,-20] -> 
[95.9339617901, -794.227092824,-20] -> [198.780671632, -774.910475207,-20] -> 
[298.22618907, -742.334924514,-20] -> [392.56897373, -697.057817448,-20] -> 
[480.194794408, -639.853857864,-20] -> [559.604349018, -571.701821372,-20] -> 
[629.438918066, -493.76780821,-20] -> [688.503612711, -407.385290951,-20] -> 
[735.787819654, -314.032298416,-20] -> [770.482493004, -215.306126189,-20] -> 
[-890.99324694, 127.008007254,-20] -> [-899.61125341, 26.4498154571,-20] -> 
[-896.916126402, -74.4409981155,-20] -> [-882.941758701, -174.395672945,-20] -> 
[-857.86388609, -272.157221001,-20] -> [-821.997877367, -366.496234093,-20] -> 
[-775.794768402, -456.226344396,-20] -> [-719.835590097, -540.219143709,-20] -> 
[-654.824061589, -617.418373847,-20] -> [-581.577740568, -686.8532097,-20] -> 
[-501.017742021, -747.650467919,-20] -> [-414.15715467, -799.045587708,-20] -> 
[-322.0883008, -840.392245614,-20] -> [-225.968999668, -871.170483424,-20] -> 
[-127.008007254, -890.99324694,-20] -> [-26.4498154571, -899.61125341,-20] -> 
[74.4409981155, -896.916126402,-20] -> [174.395672945, -882.941758701,-20] -> 
[272.157221001, -857.86388609,-20] -> [366.496234093, -821.997877367,-20] -> 
[456.226344396, -775.794768402,-20] -> [540.219143709, -719.835590097,-20] -> 
[617.418373847, -654.824061589,-20] -> [686.8532097, -581.577740568,-20] -> 
[747.650467919, -501.017742021,-20] -> [799.045587708, -414.15715467,-20] -> 
[840.392245614, -322.0883008,-20] -> [871.170483424, -225.968999668,-20] -> 
[-989.9924966, 141.12000806,-20] -> [-999.05759177, 43.4042431845,-20] -> 
[-998.501216191, -54.7295282798,-20] -> [-988.328728063, -152.336224469,-20] -> 
[-968.638094009, -248.47583954,-20] -> [-939.618945598, -342.222496447,-20] -> 
[-901.550753092, -432.673363634,-20] -> [-854.800133997, -518.957349807,-20] -> 
[-799.81732233, -600.24349301,-20] -> [-737.131832625, -675.748963249,-20] -> 
[-667.347360414, -744.746601569,-20] -> [-591.135968313, -806.571922997,-20] -> 
[-509.231613689, -860.629515889,-20] -> [-422.423080251, -906.398776075,-20] -> 
[-331.546381631, -943.43892056,-20] -> [-237.476710114, -971.393232504,-20] -> 
[-141.12000806, -989.9924966,-20] -> [-43.4042431845, -999.05759177,-20] -> 
[54.7295282798, -998.501216191,-20] -> [152.336224469, -988.328728063,-20] -> 
[248.47583954, -968.638094009,-20] -> [342.222496447, -939.618945598,-20] -> 
[432.673363634, -901.550753092,-20] -> [518.957349807, -854.800133997,-20] -> 
[600.24349301, -799.81732233,-20] -> [675.748963249, -737.131832625,-20] -> 
[744.746601569, -667.347360414,-20] -> [806.571922997, -591.135968313,-20] -> 
[860.629515889, -509.231613689,-20] -> [906.398776075, -422.423080251,-20] -> 
[943.43892056, -331.546381631,-20] -> [971.393232504, -237.476710114,-20] -> 
[971.393232504, -237.476710114,-20] -> [943.43892056, -331.546381631,-20] -> 
[906.398776075, -422.423080251,-20] -> [860.629515889, -509.231613689,-20] -> 
[806.571922997, -591.135968313,-20] -> [744.746601569, -667.347360414,-20] -> 
[675.748963249, -737.131832625,-20] -> [600.24349301, -799.81732233,-20] -> 
[518.957349807, -854.800133997,-20] -> [432.673363634, -901.550753092,-20] -> 
[342.222496447, -939.618945598,-20] -> [248.47583954, -968.638094009,-20] -> 
[152.336224469, -988.328728063,-20] -> [54.7295282798, -998.501216191,-20] -> 
[-43.4042431845, -999.05759177,-20] -> [-141.12000806, -989.9924966,-20] -> 
[-237.476710114, -971.393232504,-20] -> [-331.546381631, -943.43892056,-20] -> 
[-422.423080251, -906.398776075,-20] -> [-509.231613689, -860.629515889,-20] -> 
[-591.135968313, -806.571922997,-20] -> [-667.347360414, -744.746601569,-20] -> 
[-737.131832625, -675.748963249,-20] -> [-799.81732233, -600.24349301,-20] -> 
[-854.800133997, -518.957349807,-20] -> [-901.550753092, -432.673363634,-20] -> 
[-939.618945598, -342.222496447,-20] -> [-968.638094009, -248.47583954,-20] -> 
[-988.328728063, -152.336224469,-20] -> [-998.501216191, -54.7295282798,-20] -> 
[-999.05759177, 43.4042431845,-20] -> [-989.9924966, 141.12000806,-20] -> 
[871.170483424, -225.968999668,-20] -> [840.392245614, -322.0883008,-20] -> 
[799.045587708, -414.15715467,-20] -> [747.650467919, -501.017742021,-20] -> 
[686.8532097, -581.577740568,-20] -> [617.418373847, -654.824061589,-20] -> 
[540.219143709, -719.835590097,-20] -> [456.226344396, -775.794768402,-20] -> 
[366.496234093, -821.997877367,-20] -> [272.157221001, -857.86388609,-20] -> 
[174.395672945, -882.941758701,-20] -> [74.4409981155, -896.916126402,-20] -> 
[-26.4498154571, -899.61125341,-20] -> [-127.008007254, -890.99324694,-20] -> 
[-225.968999668, -871.170483424,-20] -> [-322.0883008, -840.392245614,-20] -> 
[-414.15715467, -799.045587708,-20] -> [-501.017742021, -747.650467919,-20] -> 
[-581.577740568, -686.8532097,-20] -> [-654.824061589, -617.418373847,-20] -> 
[-719.835590097, -540.219143709,-20] -> [-775.794768402, -456.226344396,-20] -> 
[-821.997877367, -366.496234093,-20] -> [-857.86388609, -272.157221001,-20] -> 
[-882.941758701, -174.395672945,-20] -> [-896.916126402, -74.4409981155,-20] -> 
[-899.61125341, 26.4498154571,-20] -> [-890.99324694, 127.008007254,-20] -> 
[770.482493004, -215.306126189,-20] -> [735.787819654, -314.032298416,-20] -> 
[688.503612711, -407.385290951,-20] -> [629.438918066, -493.76780821,-20] -> 
[559.604349018, -571.701821372,-20] -> [480.194794408, -639.853857864,-20] -> 
[392.56897373, -697.057817448,-20] -> [298.22618907, -742.334924514,-20] -> 
[198.780671632, -774.910475207,-20] -> [95.9339617901, -794.227092824,-20] -> 
[-8.55420473625, -799.954264681,-20] -> [-112.896006448, -791.99399728,-20] -> 
[-215.306126189, -770.482493004,-20] -> [-314.032298416, -735.787819654,-20] -> 
[-407.385290951, -688.503612711,-20] -> [-493.76780821, -629.438918066,-20] -> 
[-571.701821372, -559.604349018,-20] -> [-639.853857864, -480.194794408,-20] -> 
[-697.057817448, -392.56897373,-20] -> [-742.334924514, -298.22618907,-20] -> 
[-774.910475207, -198.780671632,-20] -> [-794.227092824, -95.9339617901,-20] -> 
[-799.954264681, 8.55420473625,-20] -> [-791.99399728, 112.896006448,-20] -> 
[669.009609241, -205.976073229,-20] -> [628.551233967, -308.096326299,-20] -> 
[572.61584127, -402.630225301,-20] -> [502.580746159, -487.250031904,-20] -> 
[420.170445107, -559.872125631,-20] -> [327.414153231, -618.708309516,-20] -> 
[226.595838277, -662.309841446,-20] -> [120.197981756, -689.603106998,-20] -> 
[10.8404520099, -699.916055395,-20] -> [-98.7840056419, -692.99474762,-20] -> 
[-205.976073229, -669.009609241,-20] -> [-308.096326299, -628.551233967,-20] -> 
[-402.630225301, -572.61584127,-20] -> [-487.250031904, -502.580746159,-20] -> 
[-559.872125631, -420.170445107,-20] -> [-618.708309516, -327.414153231,-20] -> 
[-662.309841446, -226.595838277,-20] -> [-689.603106998, -120.197981756,-20] -> 
[-699.916055395, -10.8404520099,-20] -> [-692.99474762, 98.7840056419,-20] -> 
[566.063352336, -198.927828979,-20] -> [516.377709533, -305.538968213,-20] -> 
[446.847960942, -400.408416248,-20] -> [360.146095806, -479.890393398,-20] -> 
[259.604018181, -540.930451855,-20] -> [149.085503724, -581.182856405,-20] -> 
[32.8377169679, -599.100729714,-20] -> [-84.6720048359, -593.99549796,-20] -> 
[-198.927828979, -566.063352336,-20] -> [-305.538968213, -516.377709533,-20] -> 
[-400.408416248, -446.847960942,-20] -> [-479.890393398, -360.146095806,-20] -> 
[-540.930451855, -259.604018181,-20] -> [-581.182856405, -149.085503724,-20] -> 
[-599.100729714, -32.8377169679,-20] -> [-593.99549796, 84.6720048359,-20] -> 
[459.867387284, -196.27018651,-20] -> [393.399323791, -308.604880131,-20] -> 
[300.121746505, -399.908661165,-20] -> [186.391368169, -463.959327821,-20] -> 
[59.9587261188, -496.391933015,-20] -> [-70.5600040299, -494.9962483,-20] -> 
[-196.27018651, -459.867387284,-20] -> [-308.604880131, -393.399323791,-20] -> 
[-399.908661165, -300.121746505,-20] -> [-463.959327821, -186.391368169,-20] -> 
[-496.391933015, -59.9587261188,-20] -> [-494.9962483, 70.5600040299,-20] -> 
[344.251806356, -203.692645476,-20] -> [240.097397204, -319.926928932,-20] -> 
[99.3903358162, -387.455237603,-20] -> [-56.4480032239, -395.99699864,-20] -> 
[-203.692645476, -344.251806356,-20] -> [-319.926928932, -240.097397204,-20] -> 
[-387.455237603, -99.3903358162,-20] -> [-395.99699864, 56.4480032239,-20] -> 
 End 

0: -387.455237603, -99.3903358162, -20 {93.1373385392, 0} -> -395.99699864, 56.4480032239, -20
1: -387.614308977401, -96.488192031303, -20.000000000000 {93.137338539247, 93.137338539247} -> -395.996998640178, 56.448003223947, -20.000000000000
2: -388.173212940443, -86.291387776430, -20.000000000000 {93.137338539247, 93.137338539247} -> -395.996998640178, 56.448003223947, -20.000000000000
3: -388.732116903485, -76.094583521557, -20.000000000000 {93.137338539247, 93.137338539247} -> -395.996998640178, 56.448003223947, -20.000000000000
4: -389.291020866527, -65.897779266684, -20.000000000000 {93.137338539247, 93.137338539247} -> -395.996998640178, 56.448003223947, -20.000000000000
5: -389.849924829568, -55.700975011811, -20.000000000000 {93.137338539247, 93.137338539247} -> -395.996998640178, 56.448003223947, -20.000000000000
6: -390.408828792610, -45.504170756938, -20.000000000000 {93.137338539247, 93.137338539247} -> -395.996998640178, 56.448003223947, -20.000000000000
7: -390.967732755652, -35.307366502065, -20.000000000000 {93.137338539247, 93.137338539247} -> -395.996998640178, 56.448003223947, -20.000000000000
8: -391.526636718694, -25.110562247192, -20.000000000000 {93.137338539247, 93.137338539247} -> -395.996998640178, 56.448003223947, -20.000000000000
9: -392.085540681735, -14.913757992319, -20.000000000000 {93.137338539247, 93.137338539247} -> -395.996998640178, 56.448003223947, -20.000000000000
10: -392.644444644777, -4.716953737446, -20.000000000000 {93.137338539247, 93.137338539247} -> -395.996998640178, 56.448003223947, -20.000000000000
11: -393.203348607819, 5.479850517427, -20.000000000000 {93.137338539247, 93.137338539247} -> -395.996998640178, 56.448003223947, -20.000000000000
12: -393.762252570860, 15.676654772300, -20.000000000000 {93.137338539247, 93.137338539247} -> -395.996998640178, 56.448003223947, -20.000000000000
13: -394.321156533902, 25.873459027173, -20.000000000000 {93.137338539247, 93.137338539247} -> -395.996998640178, 56.448003223947, -20.000000000000
14: -394.321156533902, 25.873459027173, -20.000000000000 {93.137338539247, 93.137338539247} -> -395.996998640178, 56.448003223947, -20.000000000000
15: -394.480227907847, 28.775602812031, -20.000000000000 {93.137338539247, 93.137338539247} -> -395.996998640178, 56.448003223947, -20.000000000000
16: -395.039131870889, 38.972407066904, -20.000000000000 {93.137338539247, 93.137338539247} -> -395.996998640178, 56.448003223947, -20.000000000000
17: -395.039131870889, 38.972407066904, -20.000000000000 {115.474108539247, 273.137338539247} -> -387.455237603456, -99.390335816161, -20.000000000000
18: -395.039131870889, 38.972407066904, -20.000000000000 {137.810878539247, 273.137338539247} -> -387.455237603456, -99.390335816161, -20.000000000000
19: -395.039131870889, 38.972407066904, -20.000000000000 {160.147648539247, 273.137338539247} -> -387.455237603456, -99.390335816161, -20.000000000000
20: -395.039131870889, 38.972407066904, -20.000000000000 {182.484418539247, 273.137338539247} -> -387.455237603456, -99.390335816161, -20.000000000000
21: -395.039131870889, 38.972407066904, -20.000000000000 {204.821188539247, 273.137338539247} -> -387.455237603456, -99.390335816161, -20.000000000000
22: -395.039131870889, 38.972407066904, -20.000000000000 {227.157958539247, 273.137338539247} -> -387.455237603456, -99.390335816161, -20.000000000000
23: -395.039131870889, 38.972407066904, -20.000000000000 {249.494728539247, 273.137338539247} -> -387.455237603456, -99.390335816161, -20.000000000000
24: -394.880060496944, 36.070263282046, -20.000000000000 {273.137338539247, 273.137338539247} -> -387.455237603456, -99.390335816161, -20.000000000000
25: -394.321156533902, 25.873459027173, -20.000000000000 {273.137338539247, 273.137338539247} -> -387.455237603456, -99.390335816161, -20.000000000000
26: -393.762252570860, 15.676654772300, -20.000000000000 {273.137338539247, 273.137338539247} -> -387.455237603456, -99.390335816161, -20.000000000000
27: -393.203348607819, 5.479850517427, -20.000000000000 {273.137338539247, 273.137338539247} -> -387.455237603456, -99.390335816161, -20.000000000000
28: -392.644444644777, -4.716953737446, -20.000000000000 {273.137338539247, 273.137338539247} -> -387.455237603456, -99.390335816161, -20.000000000000
29: -392.085540681735, -14.913757992319, -20.000000000000 {273.137338539247, 273.137338539247} -> -387.455237603456, -99.390335816161, -20.000000000000
30: -391.526636718694, -25.110562247192, -20.000000000000 {273.137338539247, 273.137338539247} -> -387.455237603456, -99.390335816161, -20.000000000000
31: -390.967732755652, -35.307366502065, -20.000000000000 {273.137338539247, 273.137338539247} -> -387.455237603456, -99.390335816161, -20.000000000000
32: -390.408828792610, -45.504170756938, -20.000000000000 {273.137338539247, 273.137338539247} -> -387.455237603456, -99.390335816161, -20.000000000000
33: -389.849924829568, -55.700975011811, -20.000000000000 {273.137338539247, 273.137338539247} -> -387.455237603456, -99.390335816161, -20.000000000000
34: -389.291020866527, -65.897779266684, -20.000000000000 {273.137338539247, 273.137338539247} -> -387.455237603456, -99.390335816161, -20.000000000000
35: -388.732116903485, -76.094583521557, -20.000000000000 {273.137338539247, 273.137338539247} -> -387.455237603456, -99.390335816161, -20.000000000000
36: -387.607681464887, -78.774767693293, -20.000000000000 {292.759833931848, 292.759833931848} -> -319.926928932083, -240.097397203897, -20.000000000000
37: -383.656930256607, -88.191707511641, -20.000000000000 {292.759833931848, 292.759833931848} -> -319.926928932083, -240.097397203897, -20.000000000000
38: -379.706179048327, -97.608647329988, -20.000000000000 {292.759833931848, 292.759833931848} -> -319.926928932083, -240.097397203897, -20.000000000000
39: -375.755427840048, -107.025587148335, -20.000000000000 {292.759833931848, 292.759833931848} -> -319.926928932083, -240.097397203897, -20.000000000000
40: -371.804676631768, -116.442526966683, -20.000000000000 {292.759833931848, 292.759833931848} -> -319.926928932083, -240.097397203897, -20.000000000000
41: -367.853925423488, -125.859466785030, -20.000000000000 {292.759833931848, 292.759833931848} -> -319.926928932083, -240.097397203897, -20.000000000000
42: -363.903174215209, -135.276406603378, -20.000000000000 {292.759833931848, 292.759833931848} -> -319.926928932083, -240.097397203897, -20.000000000000
43: -359.952423006929, -144.693346421725, -20.000000000000 {292.759833931848, 292.759833931848} -> -319.926928932083, -240.097397203897, -20.000000000000
44: -356.001671798649, -154.110286240072, -20.000000000000 {292.759833931848, 292.759833931848} -> -319.926928932083, -240.097397203897, -20.000000000000
45: -352.050920590370, -163.527226058420, -20.000000000000 {292.759833931848, 292.759833931848} -> -319.926928932083, -240.097397203897, -20.000000000000
46: -348.100169382090, -172.944165876767, -20.000000000000 {292.759833931848, 292.759833931848} -> -319.926928932083, -240.097397203897, -20.000000000000
47: -344.149418173810, -182.361105695115, -20.000000000000 {292.759833931848, 292.759833931848} -> -319.926928932083, -240.097397203897, -20.000000000000
48: -340.198666965530, -191.778045513462, -20.000000000000 {292.759833931848, 292.759833931848} -> -319.926928932083, -240.097397203897, -20.000000000000
49: -336.247915757251, -201.194985331809, -20.000000000000 {292.759833931848, 292.759833931848} -> -319.926928932083, -240.097397203897, -20.000000000000
50: -332.297164548971, -210.611925150157, -20.000000000000 {292.759833931848, 292.759833931848} -> -319.926928932083, -240.097397203897, -20.000000000000
51: -328.346413340691, -220.028864968504, -20.000000000000 {292.759833931848, 292.759833931848} -> -319.926928932083, -240.097397203897, -20.000000000000
52: -326.287652831979, -222.080510020107, -20.000000000000 {315.099183705471, 315.099183705471} -> -203.692645475633, -344.251806355665, -20.000000000000
53: -319.054111191302, -229.289051202946, -20.000000000000 {315.099183705471, 315.099183705471} -> -203.692645475633, -344.251806355665, -20.000000000000
54: -311.820569550625, -236.497592385786, -20.000000000000 {315.099183705471, 315.099183705471} -> -203.692645475633, -344.251806355665, -20.000000000000
55: -304.587027909948, -243.706133568625, -20.000000000000 {315.099183705471, 315.099183705471} -> -203.692645475633, -344.251806355665, -20.000000000000
56: -297.353486269271, -250.914674751465, -20.000000000000 {315.099183705471, 315.099183705471} -> -203.692645475633, -344.251806355665, -20.000000000000
57: -290.119944628595, -258.123215934305, -20.000000000000 {315.099183705471, 315.099183705471} -> -203.692645475633, -344.251806355665, -20.000000000000
58: -282.886402987918, -265.331757117144, -20.000000000000 {315.099183705471, 315.099183705471} -> -203.692645475633, -344.251806355665, -20.000000000000
59: -275.652861347241, -272.540298299984, -20.000000000000 {315.099183705471, 315.099183705471} -> -203.692645475633, -344.251806355665, -20.000000000000
60: -268.419319706564, -279.748839482823, -20.000000000000 {315.099183705471, 315.099183705471} -> -203.692645475633, -344.251806355665, -20.000000000000
61: -261.185778065887, -286.957380665663, -20.000000000000 {315.099183705471, 315.099183705471} -> -203.692645475633, -344.251806355665, -20.000000000000
62: -253.952236425210, -294.165921848502, -20.000000000000 {315.099183705471, 315.099183705471} -> -203.692645475633, -344.251806355665, -20.000000000000
63: -246.718694784533, -301.374463031342, -20.000000000000 {315.099183705471, 315.099183705471} -> -203.692645475633, -344.251806355665, -20.000000000000
64: -239.485153143856, -308.583004214181, -20.000000000000 {315.099183705471, 315.099183705471} -> -203.692645475633, -344.251806355665, -20.000000000000
65: -232.251611503179, -315.791545397021, -20.000000000000 {315.099183705471, 315.099183705471} -> -203.692645475633, -344.251806355665, -20.000000000000
66: -225.018069862503, -323.000086579860, -20.000000000000 {315.099183705471, 315.099183705471} -> -203.692645475633, -344.251806355665, -20.000000000000
67: -225.018069862503, -323.000086579860, -20.000000000000 {315.099183705471, 315.099183705471} -> -203.692645475633, -344.251806355665, -20.000000000000
68: -222.959309353790, -325.051731631463, -20.000000000000 {315.099183705471, 315.099183705471} -> -203.692645475633, -344.251806355665, -20.000000000000
69: -215.725767713113, -332.260272814303, -20.000000000000 {315.099183705471, 315.099183705471} -> -203.692645475633, -344.251806355665, -20.000000000000
70: -213.027299910088, -333.340093987477, -20.000000000000 {338.190646041654, 338.190646041654} -> -56.448003223948, -395.996998640178, -20.000000000000
71: -203.546119784180, -337.134091097676, -20.000000000000 {338.190646041654, 338.190646041654} -> -56.448003223948, -395.996998640178, -20.000000000000
72: -194.064939658273, -340.928088207874, -20.000000000000 {338.190646041654, 338.190646041654} -> -56.448003223948, -395.996998640178, -20.000000000000
73: -184.583759532365, -344.722085318072, -20.000000000000 {338.190646041654, 338.190646041654} -> -56.448003223948, -395.996998640178, -20.000000000000
74: -175.102579406457, -348.516082428270, -20.000000000000 {338.190646041654, 338.190646041654} -> -56.448003223948, -395.996998640178, -20.000000000000
75: -165.621399280549, -352.310079538468, -20.000000000000 {338.190646041654, 338.190646041654} -> -56.448003223948, -395.996998640178, -20.000000000000
76: -156.140219154642, -356.104076648666, -20.000000000000 {338.190646041654, 338.190646041654} -> -56.448003223948, -395.996998640178, -20.000000000000
77: -146.659039028734, -359.898073758865, -20.000000000000 {338.190646041654, 338.190646041654} -> -56.448003223948, -395.996998640178, -20.000000000000
78: -137.177858902826, -363.692070869063, -20.000000000000 {338.190646041654, 338.190646041654} -> -56.448003223948, -395.996998640178, -20.000000000000
79: -127.696678776918, -367.486067979261, -20.000000000000 {338.190646041654, 338.190646041654} -> -56.448003223948, -395.996998640178, -20.000000000000
80: -118.215498651011, -371.280065089459, -20.000000000000 {338.190646041654, 338.190646041654} -> -56.448003223948, -395.996998640178, -20.000000000000
81: -108.734318525103, -375.074062199657, -20.000000000000 {338.190646041654, 338.190646041654} -> -56.448003223948, -395.996998640178, -20.000000000000
82: -99.253138399195, -378.868059309856, -20.000000000000 {338.190646041654, 338.190646041654} -> -56.448003223948, -395.996998640178, -20.000000000000
83: -89.771958273288, -382.662056420054, -20.000000000000 {338.190646041654, 338.190646041654} -> -56.448003223948, -395.996998640178, -20.000000000000
84: -80.290778147380, -386.456053530252, -20.000000000000 {338.190646041654, 338.190646041654} -> -56.448003223948, -395.996998640178, -20.000000000000
85: -80.290778147380, -386.456053530252, -20.000000000000 {338.190646041654, 338.190646041654} -> -56.448003223948, -395.996998640178, -20.000000000000
86: -77.592310344355, -387.535874703427, -20.000000000000 {338.190646041654, 338.190646041654} -> -56.448003223948, -395.996998640178, -20.000000000000
87: -74.685933484219, -387.509120323097, -20.000000000000 {0.527416041654, 0.026105187605} -> 99.390335816161, -387.455237603456, -20.000000000000
88: -64.473823973440, -387.505959316512, -20.000000000000 {0.017735055662, 0.017735055662} -> 99.390335816161, -387.455237603456, -20.000000000000
89: -54.261714462661, -387.502798309926, -20.000000000000 {0.017735055662, 0.017735055662} -> 99.390335816161, -387.455237603456, -20.000000000000
90: -44.049604951883, -387.499637303340, -20.000000000000 {0.017735055662, 0.017735055662} -> 99.390335816161, -387.455237603456, -20.000000000000
91: -33.837495441104, -387.496476296754, -20.000000000000 {0.017735055662, 0.017735055662} -> 99.390335816161, -387.455237603456, -20.000000000000
92: -23.625385930325, -387.493315290168, -20.000000000000 {0.017735055662, 0.017735055662} -> 99.390335816161, -387.455237603456, -20.000000000000
93: -13.413276419546, -387.490154283582, -20.000000000000 {0.017735055662, 0.017735055662} -> 99.390335816161, -387.455237603456, -20.000000000000
94: -3.201166908768, -387.486993276996, -20.000000000000 {0.017735055662, 0.017735055662} -> 99.390335816161, -387.455237603456, -20.000000000000
95: 7.010942602011, -387.483832270410, -20.000000000000 {0.017735055662, 0.017735055662} -> 99.390335816161, -387.455237603456, -20.000000000000
96: 17.223052112790, -387.480671263824, -20.000000000000 {0.017735055662, 0.017735055662} -> 99.390335816161, -387.455237603456, -20.000000000000
97: 27.435161623568, -387.477510257238, -20.000000000000 {0.017735055662, 0.017735055662} -> 99.390335816161, -387.455237603456, -20.000000000000
98: 37.647271134347, -387.474349250652, -20.000000000000 {0.017735055662, 0.017735055662} -> 99.390335816161, -387.455237603456, -20.000000000000
99: 47.859380645126, -387.471188244066, -20.000000000000 {0.017735055662, 0.017735055662} -> 99.390335816161, -387.455237603456, -20.000000000000
100: 58.071490155905, -387.468027237480, -20.000000000000 {0.017735055662, 0.017735055662} -> 99.390335816161, -387.455237603456, -20.000000000000
101: 68.283599666683, -387.464866230894, -20.000000000000 {0.017735055662, 0.017735055662} -> 99.390335816161, -387.455237603456, -20.000000000000
102: 78.495709177462, -387.461705224308, -20.000000000000 {0.017735055662, 0.017735055662} -> 99.390335816161, -387.455237603456, -20.000000000000
103: 81.177448070241, -386.340982796159, -20.000000000000 {22.680481881673, 22.680481881673} -> 240.097397203896, -319.926928932084, -20.000000000000
