Patroling Sections:
[55.704741, -385.186179,0] -> [455.704741, 14.813821,0] -> 
[55.704741, -485.186179,0] -> [555.704741, 14.813821,0] -> 
[55.704741, -585.186179,0] -> [655.704741, 14.813821,0] -> 
[55.704741, -685.186179,0] -> [755.704741, 14.813821,0] -> 
[55.704741, -785.186179,0] -> [855.704741, 14.813821,0] -> 
[55.704741, -885.186179,0] -> [955.704741, 14.813821,0] -> 
[55.704741, -985.186179,0] -> [1055.704741, 14.813821,0] -> 
[1055.704741, 14.813821,0] -> [55.704741, -985.186179,0] -> 
[955.704741, 14.813821,0] -> [55.704741, -885.186179,0] -> 
[855.704741, 14.813821,0] -> [55.704741, -785.186179,0] -> 
[755.704741, 14.813821,0] -> [55.704741, -685.186179,0] -> 
[655.704741, 14.813821,0] -> [55.704741, -585.186179,0] -> 
[555.704741, 14.813821,0] -> [55.704741, -485.186179,0] -> 
[455.704741, 14.813821,0] -> [55.704741, -385.186179,0] -> 
 End 

0: 455.704741, 14.813821, 0 {225, 0} -> 55.704741, -385.186179, 0
1: 453.643524732841, 12.752604732842, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
2: 447.459875931365, 6.568955931366, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
3: 437.397746435080, -3.493173564919, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
4: 427.335616938796, -13.555303061204, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
5: 417.273487442511, -23.617432557488, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
6: 407.211357946226, -33.679562053773, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
7: 397.149228449942, -43.741691550057, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
8: 387.087098953657, -53.803821046342, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
9: 377.024969457372, -63.865950542626, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
10: 366.962839961088, -73.928080038911, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
11: 356.900710464803, -83.990209535195, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
12: 346.838580968519, -94.052339031480, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
13: 336.776451472234, -104.114468527764, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
14: 326.714321975950, -114.176598024049, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
15: 316.652192479665, -124.238727520334, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
16: 306.590062983380, -134.300857016618, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
17: 296.527933487096, -144.362986512903, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
18: 286.465803990811, -154.425116009187, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
19: 276.403674494527, -164.487245505472, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
20: 266.341544998242, -174.549375001756, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
21: 256.279415501958, -184.611504498041, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
22: 246.217286005673, -194.673633994325, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
23: 236.155156509388, -204.735763490610, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
24: 226.093027013104, -214.797892986895, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
25: 216.030897516819, -224.860022483179, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
26: 205.968768020535, -234.922151979464, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
27: 195.906638524250, -244.984281475748, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
28: 185.844509027966, -255.046410972033, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
29: 175.782379531681, -265.108540468317, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
30: 165.720250035396, -275.170669964602, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
31: 155.658120539112, -285.232799460887, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
32: 145.595991042827, -295.294928957171, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
33: 135.533861546543, -305.357058453456, 0.000000000000 {225.000000000000, 225.000000000000} -> 55.704740999999, -385.186179000000, 0.000000000000
