Patroling Sections:
[455.704741, 14.813821,0] -> [55.704741, 414.813821,0] -> 
[555.704741, 14.813821,0] -> [55.704741, 514.813821,0] -> 
[655.704741, 14.813821,0] -> [55.704741, 614.813821,0] -> 
[755.704741, 14.813821,0] -> [55.704741, 714.813821,0] -> 
[855.704741, 14.813821,0] -> [55.704741, 814.813821,0] -> 
[955.704741, 14.813821,0] -> [55.704741, 914.813821,0] -> 
[1055.704741, 14.813821,0] -> [55.704741, 1014.813821,0] -> 
[55.704741, 1014.813821,0] -> [1055.704741, 14.813821,0] -> 
[55.704741, 914.813821,0] -> [955.704741, 14.813821,0] -> 
[55.704741, 814.813821,0] -> [855.704741, 14.813821,0] -> 
[55.704741, 714.813821,0] -> [755.704741, 14.813821,0] -> 
[55.704741, 614.813821,0] -> [655.704741, 14.813821,0] -> 
[55.704741, 514.813821,0] -> [555.704741, 14.813821,0] -> 
[55.704741, 414.813821,0] -> [455.704741, 14.813821,0] -> 
 End 

0: 55.704741, 414.813821, 0 {315, 0} -> 455.704741, 14.813821, 0
1: 57.765957267159, 412.752604732841, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
2: 63.949606068635, 406.568955931365, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
3: 74.011735564920, 396.506826435080, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
4: 84.073865061204, 386.444696938796, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
5: 94.135994557489, 376.382567442511, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
6: 104.198124053773, 366.320437946227, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
7: 114.260253550058, 356.258308449942, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
8: 124.322383046343, 346.196178953657, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
9: 134.384512542627, 336.134049457373, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
10: 144.446642038912, 326.071919961088, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
11: 154.508771535196, 316.009790464804, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
12: 164.570901031481, 305.947660968519, 0.000000000000 {315.000000000000, 315.000000000000} -> 455.704741000000, 14.813821000001, 0.000000000000
